economy,ecnmycode,regionwb,pop_adult,wgt,female,age,educ,inc_q,q1a,account,q1b,q2,q3a,q3b,q4,q5,q6,q7,q8a,q8b,q9a,q9b,q9c,q9d,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11,q12a,q12b,q13a,q13b,q14a,q14b,q14c,q14d,q14e,q15a,q16,q17,q18,q15b,q15c,q15d,q15e,q15a1a,q15a1b,q15a1c
Afghanistan,AFG,South Asia,15112214.0,0.376536210154326,2,30.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,1,2,2,2,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.3550410307463998,2,25.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.48174986917041895,2,17.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.552657659614553,1,61.0,1.0,4,4,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,1,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,1,19.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.24827066441924,1,25.0,1.0,4,1,1,0.0,1.0,2,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,1,2,2,2,2,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.989375399902165,2,23.0,3.0,4,1,1,0.0,3.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,2,2,2,2,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.9824251671257991,2,15.0,1.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.385399895336335,2,19.0,2.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,0.0,0.0,0.0,0.0,1,2,1,2,2,1,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
Afghanistan,AFG,South Asia,15112214.0,1.693801288433,2,30.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,3.63179872623454,1,44.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,2.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.83672566971783,1,46.0,1.0,5,1,1,0.0,1.0,2,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,2,2,2,1,2,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.31916719986955,2,20.0,2.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,2.24199051612364,1,60.0,1.0,2,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.505368661031971,1,35.0,1.0,3,1,1,0.0,1.0,1,2,6.0,6.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,1,2,2,2,2,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.459181417429457,1,50.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.637375278543,2,15.0,1.0,1,4,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.3850254163685589,2,69.0,2.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.37754425228837,1,49.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2,2,1,2,2,1,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.6962778563422201,2,48.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,1,20.0,1.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
Afghanistan,AFG,South Asia,15112214.0,1.28882810817916,2,25.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.654950111417199,2,20.0,1.0,1,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.2066867234121599,1,17.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.4899089130923,1,29.0,1.0,4,1,1,0.0,1.0,1,2,1.0,1.0,7.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.8101490064125921,1,22.0,2.0,5,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,2,1,2,2,2,1,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.4258850104760771,1,17.0,2.0,2,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.94296143740567,2,42.0,1.0,2,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.4212926310820129,1,38.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2,0.0,0.0,0.0,0.0,1,2,1,2,1,1,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.654950111417199,2,17.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,1,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.498351575107072,2,25.0,2.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,2,20.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.34673469465001394,1,50.0,2.0,3,1,1,0.0,1.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,1,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.7694197786010921,1,53.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.45597027512794,2,20.0,1.0,4,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.863850253406712,2,40.0,1.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,0.496636304364101,1,27.0,1.0,3,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0,0.0,0.0,2,2,2,2,1,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Afghanistan,AFG,South Asia,15112214.0,1.637375278543,2,16.0,1.0,2,2,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2,0.0,0.0,0.0,0.0,2,2,1,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
